Item,Type,Market,RMSE,MAE,MPE,MAPE,MASE
Beans,Retail,Dambulla,229.8561885160675,179.93515381411777,-29.802781617110245,31.82973430195595,NA
Beans,Retail,Pettah,283.20799282366863,261.8846076613916,-41.935196804128225,41.935196804128225,NA
Beans,Wholesale,Dambulla,185.3693016628883,139.23931565654465,-23.366088669813767,25.880666183354222,NA
Beans,Wholesale,Pettah,223.52444077445935,195.9932426153183,-25.7427767636712,37.98655652557596,NA
Big Onion (Imp),Retail,Dambulla,198.91203422342406,188.239511071889,112.36076512624564,112.36076512624564,NA
Big Onion (Imp),Retail,Pettah,151.54855346610233,136.15037547626795,63.990158870706765,72.424517117953215,NA
Big Onion (Imp),Wholesale,Dambulla,198.83671302780627,188.73104868657376,129.30017531662855,129.30017531662855,NA
Big Onion (Imp),Wholesale,Pettah,240.83513847099147,218.32303032189165,146.8145066901223,146.8145066901223,NA
Big Onion (Local),Retail,Dambulla,160.35545998742995,137.76365556232284,54.62455726286735,57.168474710058696,NA
Big Onion (Local),Retail,Pettah,173.7962938440582,172.25825163818243,80.59112703658761,80.59112703658761,NA
Big Onion (Local),Wholesale,Dambulla,158.12830838474358,132.77623747795656,59.942442403457974,60.93758882329216,NA
Big Onion (Local),Wholesale,Pettah,146.6898129660866,134.52096979934302,66.2531796380017,72.55441504705043,NA
Brinjal,Retail,Dambulla,136.47185043017893,109.0953392027455,-4.549563902898711,28.058467874660206,NA
Brinjal,Retail,Pettah,103.15686787003669,72.12069578018037,-13.45315330066642,16.350829536113388,NA
Brinjal,Wholesale,Dambulla,102.0653716955045,84.01070258793523,11.761046513195577,26.82718794227492,NA
Brinjal,Wholesale,Pettah,98.14026207750119,65.89774366106934,-6.627789939086505,17.341122945404425,NA
Cabbage,Retail,Dambulla,135.4588185395832,125.72716609848818,53.20455566973146,56.29930029767089,NA
Cabbage,Retail,Pettah,88.66635505794001,76.88106765400357,7.599550501240923,25.453355008130885,NA
Cabbage,Wholesale,Dambulla,183.95392797266086,170.11243930594586,86.04966581245243,87.95452742161412,NA
Cabbage,Wholesale,Pettah,134.11303571191124,130.11842123434124,53.296512799944196,53.296512799944196,NA
Carrot,Retail,Dambulla,121.84410234042927,92.51718536642215,6.275872273239184,26.33774921286685,NA
Carrot,Retail,Pettah,92.41277954698158,72.4741937758613,-18.178319888402562,18.288275551037984,NA
Carrot,Wholesale,Dambulla,121.9238965831397,97.44971109882496,19.673704230206173,31.48135342044594,NA
Carrot,Wholesale,Pettah,71.63279940319393,53.84399583547728,-10.949352828607307,14.648604483256372,NA
Green Chilli,Retail,Dambulla,479.8378291572094,436.4796591290236,-52.149602820541716,52.149602820541716,NA
Green Chilli,Retail,Pettah,522.7574011318372,497.04951711531,-56.01460307816391,56.01460307816391,NA
Green Chilli,Wholesale,Dambulla,485.8977864062871,438.3243798943619,-54.09185340969076,54.09185340969076,NA
Green Chilli,Wholesale,Pettah,481.5217969527411,449.63882718400157,-55.98095750048609,55.98095750048609,NA
Lime,Retail,Dambulla,196.55637820996154,187.82314294487367,104.96957018059446,104.96957018059446,NA
Lime,Retail,Pettah,140.20605046267224,137.13081295700397,54.85232518280159,54.85232518280159,NA
Lime,Wholesale,Dambulla,191.20355734198097,182.06122326587519,123.79494746163344,123.79494746163344,NA
Lime,Wholesale,Pettah,153.78015291199154,141.8889914460312,68.63891374703047,72.42510268826005,NA
Potato (Imp),Retail,Dambulla,171.8905336858286,164.53562581699984,94.81994178081494,94.81994178081494,NA
Potato (Imp),Retail,Pettah,163.43883069592647,148.07494128948335,76.77009316498673,77.23072830942857,NA
Potato (Imp),Wholesale,Dambulla,222.91992536996779,215.4093596714689,140.65483658759683,140.65483658759683,NA
Potato (Imp),Wholesale,Pettah,156.3972428201768,138.59783042498563,79.9092666586037,81.32783958625217,NA
Potato (Local),Retail,Dambulla,52.55462687732517,45.158445586669075,5.022372779139556,14.212600158491796,NA
Potato (Local),Retail,Pettah,145.26711310306231,95.90898444376812,1.948922897048881,24.99012225047689,NA
Potato (Local),Wholesale,Dambulla,89.6604535671749,70.60746958216414,14.407695907781948,23.744655767065062,NA
Potato (Local),Wholesale,Pettah,48.23549168105341,43.73679195126605,6.026673331268352,12.138262104212089,NA
Pumpkin,Retail,Dambulla,222.47942805133675,207.91249091569907,146.46561428356986,146.46561428356986,NA
Pumpkin,Retail,Pettah,146.0986503105939,136.85856495505206,61.616036223893204,68.42928247752603,NA
Pumpkin,Wholesale,Dambulla,271.035671971641,259.4690229163859,231.50351730768048,231.50351730768048,NA
Pumpkin,Wholesale,Pettah,231.41074896395003,220.69839014560216,172.3374987061527,172.3374987061527,NA
Red Onion (Imp),Retail,Dambulla,67.13902770593081,62.93757761759546,15.024453457853156,19.389163763321893,NA
Red Onion (Imp),Retail,Pettah,81.66539000484053,60.68795703173454,-2.5737546164571983,17.339416294781298,NA
Red Onion (Imp),Wholesale,Dambulla,69.09854937554415,56.45331910041745,12.287079924409777,18.84429924669796,NA
Red Onion (Imp),Wholesale,Pettah,80.80860168949337,67.19062680308976,10.602238273352766,23.643569075180928,NA
Red Onion (Local),Retail,Dambulla,138.1944837618017,125.09128033865211,44.916606653796265,52.60883607889042,NA
Red Onion (Local),Retail,Pettah,92.0045472597624,90.343254887094,26.35757345070071,30.045737304245122,NA
Red Onion (Local),Wholesale,Dambulla,129.6350749544677,112.58297370463248,52.31029039064581,52.31029039064581,NA
Red Onion (Local),Wholesale,Pettah,124.78409239060659,102.86499205217244,25.44780185371747,35.668439145628426,NA
Snake gourd,Retail,Dambulla,125.67261525971821,85.79398230174627,29.02617779473438,31.37523816573587,NA
Snake gourd,Retail,Pettah,105.40523044157636,69.21916338122784,-12.078643135964732,16.667962661479628,NA
Snake gourd,Wholesale,Dambulla,182.11291846756922,146.16446059262628,58.80954177422714,59.00743040799275,NA
Snake gourd,Wholesale,Pettah,122.85465069579352,98.90117811660654,5.947249740210779,28.248577445343173,NA
Tomato,Retail,Dambulla,133.992084792908,116.49532968526997,-24.72027554571189,26.165448507181516,NA
Tomato,Retail,Pettah,248.4101815902139,239.05932270317533,-41.79204775056428,41.79204775056428,NA
Tomato,Wholesale,Dambulla,108.92459771671524,95.76563598368864,-7.2464290227365185,23.447801822281672,NA
Tomato,Wholesale,Pettah,91.03627111380302,84.98248172855541,-17.19699759875936,17.628381203256723,NA
